product,description,review,rating,price,num_ratings,num_reviews,ram_gb,storage_gb,display_inch,camera_mp,battery_mah,warranty_years
"Apple iPhone SE (Black, 64 GB)","64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold Separately1 year warranty for phone and 1 year warranty for in Box Accessories.","78,397 Ratings & 6,109 Reviews",4.5,39900.0,397.0,109.0,8.0,64.0,4.7,12.0,5000.0,1.0
"Infinix Zero Ultra (Genesis Noir, 256 GB)",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display200MP + 13MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 920 Processor1 Year on Handset and 6 Months on Accessories,"1,837 Ratings & 253 Reviews",4.0,36999.0,837.0,253.0,8.0,256.0,6.8,50.0,4500.0,1.0
"vivo X50 (Glaze Black, 128 GB)",8 GB RAM | 128 GB ROM16.66 cm (6.56 inch) Full HD+ E3 Super AMOLED Display48MP + 13MP + 8MP + 5MP | 32MP Front Camera4200 mAh Lithium-ion BatteryQualcomm Snapdragon 730 Processor33W Vivo FlashCharge 2.01 Year for Handset and 6 Months for In-box Accessories,"2,106 Ratings & 240 Reviews",4.3,39990.0,106.0,240.0,8.0,128.0,6.56,50.0,4200.0,1.0
"vivo T3 Lite 5G (Majestic Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"90,068 Ratings & 3,198 Reviews",4.4,11499.0,68.0,198.0,6.0,128.0,6.56,50.0,5000.0,1.0
"vivo T3 Lite 5G (Majestic Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"59,614 Ratings & 2,035 Reviews",4.4,10499.0,614.0,35.0,4.0,128.0,6.56,50.0,5000.0,1.0
"vivo T3 Lite 5G (Vibrant Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"90,068 Ratings & 3,198 Reviews",4.4,11499.0,68.0,198.0,6.0,128.0,6.56,50.0,5000.0,1.0
"vivo T3 Lite 5G (Vibrant Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"59,614 Ratings & 2,035 Reviews",4.4,10499.0,614.0,35.0,4.0,128.0,6.56,50.0,5000.0,1.0
"Apple iPhone 16 Plus (Black, 512 GB)","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",759 Ratings & 45 Reviews,4.6,114900.0,759.0,45.0,8.0,512.0,6.7,50.0,5000.0,1.0
"Apple iPhone 16 Plus (Black, 256 GB)","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",759 Ratings & 45 Reviews,4.6,94900.0,759.0,45.0,8.0,256.0,6.7,50.0,5000.0,1.0
"Apple iPhone 16 (Black, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","7,143 Ratings & 339 Reviews",4.6,74990.0,143.0,339.0,8.0,128.0,6.1,50.0,5000.0,1.0
"Apple iPhone 16 (Black, 256 GB)","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","7,143 Ratings & 339 Reviews",4.6,84990.0,143.0,339.0,8.0,256.0,6.1,50.0,5000.0,1.0
"Apple 16 (White, 256 GB)","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","2,478 Ratings & 125 Reviews",4.6,84990.0,478.0,125.0,8.0,256.0,6.1,50.0,5000.0,1.0
"Apple 16 (White, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","2,478 Ratings & 125 Reviews",4.6,74990.0,478.0,125.0,8.0,128.0,6.1,50.0,5000.0,1.0
"Apple iPhone 16 Plus (Teal, 512 GB)","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",759 Ratings & 45 Reviews,4.6,114900.0,759.0,45.0,8.0,512.0,6.7,50.0,5000.0,1.0
"Apple iPhone 16 Plus (Teal, 256 GB)","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",759 Ratings & 45 Reviews,4.6,94900.0,759.0,45.0,8.0,256.0,6.7,50.0,5000.0,1.0
"Apple 16 Plus (Black, 128 GB)","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",911 Ratings & 50 Reviews,4.6,84900.0,911.0,50.0,8.0,128.0,6.7,50.0,5000.0,1.0
"Apple iPhone 16 Plus (Teal, 128 GB)","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",759 Ratings & 45 Reviews,4.6,84900.0,759.0,45.0,8.0,128.0,6.7,50.0,5000.0,1.0
"Apple iPhone 16 (Ultramarine, 256 GB)","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","7,143 Ratings & 339 Reviews",4.6,84990.0,143.0,339.0,8.0,256.0,6.1,50.0,5000.0,1.0
"Apple iPhone 16 (Ultramarine, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","7,143 Ratings & 339 Reviews",4.6,74990.0,143.0,339.0,8.0,128.0,6.1,50.0,5000.0,1.0
"Apple iPhone 16 (Teal, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","7,143 Ratings & 339 Reviews",4.6,74990.0,143.0,339.0,8.0,128.0,6.1,50.0,5000.0,1.0
"Apple 16 (Teal, 256 GB)","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","2,478 Ratings & 125 Reviews",4.6,84990.0,478.0,125.0,8.0,256.0,6.1,50.0,5000.0,1.0
"Apple 16 Plus (Ultramarine, 256 GB)","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",911 Ratings & 50 Reviews,4.6,94900.0,911.0,50.0,8.0,256.0,6.7,50.0,5000.0,1.0
"Apple 16 Plus (Ultramarine, 128 GB)","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",911 Ratings & 50 Reviews,4.6,84900.0,911.0,50.0,8.0,128.0,6.7,50.0,5000.0,1.0
"vivo T4x 5G (Pronto Purple, 128 GB)",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"13,775 Ratings & 895 Reviews",4.5,14999.0,775.0,895.0,8.0,128.0,6.72,50.0,6500.0,1.0
"vivo T4x 5G (Marine Blue, 256 GB)",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"13,775 Ratings & 895 Reviews",4.5,16999.0,775.0,895.0,8.0,256.0,6.72,50.0,6500.0,1.0
"vivo T4x 5G (Pronto Purple, 128 GB)",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"16,156 Ratings & 1,096 Reviews",4.5,13999.0,156.0,96.0,6.0,128.0,6.72,50.0,6500.0,1.0
"vivo T4x 5G (Marine Blue, 128 GB)",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"13,775 Ratings & 895 Reviews",4.5,14999.0,775.0,895.0,8.0,128.0,6.72,50.0,6500.0,1.0
"vivo T4x 5G (Marine Blue, 128 GB)",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"16,156 Ratings & 1,096 Reviews",4.5,13999.0,156.0,96.0,6.0,128.0,6.72,50.0,6500.0,1.0
"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"42,268 Ratings & 2,502 Reviews",4.2,6499.0,268.0,502.0,4.0,64.0,6.74,50.0,5000.0,1.0
"vivo T4x 5G (Pronto Purple, 256 GB)",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"13,775 Ratings & 895 Reviews",4.5,16999.0,775.0,895.0,8.0,256.0,6.72,50.0,6500.0,1.0
"Motorola g45 5G (Brilliant Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 6s Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"1,30,148 Ratings & 6,857 Reviews",4.3,12999.0,148.0,857.0,8.0,128.0,6.5,50.0,5000.0,1.0
"MOTOROLA g05 (Plum Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5200 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"17,380 Ratings & 1,416 Reviews",4.3,7299.0,380.0,416.0,4.0,64.0,6.67,50.0,5200.0,1.0
"POCO C75 5G (Aqua Bliss, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"30,430 Ratings & 1,659 Reviews",4.3,7999.0,430.0,659.0,4.0,64.0,6.88,50.0,5160.0,1.0
"vivo T3 Pro 5G (Sandstone Orange, 128 GB)",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"59,745 Ratings & 4,043 Reviews",4.5,22999.0,745.0,43.0,8.0,128.0,6.77,50.0,5500.0,1.0
"vivo T3 Pro 5G (Emerald Green, 256 GB)",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"59,745 Ratings & 4,043 Reviews",4.5,24999.0,745.0,43.0,8.0,256.0,6.77,50.0,5500.0,1.0
"Motorola g45 5G (Pink Lavender, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 6s Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"1,30,148 Ratings & 6,857 Reviews",4.3,12999.0,148.0,857.0,8.0,128.0,6.5,50.0,5000.0,1.0
"vivo T3 5G (Cosmic Blue, 256 GB)",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"1,16,089 Ratings & 7,333 Reviews",4.4,20499.0,89.0,333.0,8.0,256.0,6.67,50.0,5000.0,1.0
"POCO C61 (Ethereal Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"10,202 Ratings & 347 Reviews",4.3,8499.0,202.0,347.0,6.0,128.0,6.71,8.0,5000.0,1.0
"Apple iPhone 16 (Pink, 256 GB)","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","7,143 Ratings & 339 Reviews",4.6,84990.0,143.0,339.0,8.0,256.0,6.1,50.0,5000.0,1.0
"Motorola g45 5G (Brilliant Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 6s Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"33,219 Ratings & 2,150 Reviews",4.3,10999.0,219.0,150.0,4.0,128.0,6.5,50.0,5000.0,1.0
"vivo T3 5G (Crystal Flake, 128 GB)",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"1,16,089 Ratings & 7,333 Reviews",4.4,18499.0,89.0,333.0,8.0,128.0,6.67,50.0,5000.0,1.0
"Apple 16 Plus (Pink, 512 GB)","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",911 Ratings & 50 Reviews,4.6,114900.0,911.0,50.0,8.0,512.0,6.7,50.0,5000.0,1.0
"Apple iPhone 16 (Pink, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","7,143 Ratings & 339 Reviews",4.6,74990.0,143.0,339.0,8.0,128.0,6.1,50.0,5000.0,1.0
"OnePlus Nord 3 5G (Misty Green, 256 GB)",16 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories,"1,692 Ratings & 137 Reviews",4.4,37630.0,692.0,137.0,16.0,256.0,6.74,50.0,5000.0,1.0
"SAMSUNG Galaxy A53 (Awesome Blue, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display64MP + 12MP + 5MP + 5MP | 32MP Front Camera5000 mAh Lithium Ion BatteryExynos Octa Core Processor Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,"1,934 Ratings & 187 Reviews",4.1,36499.0,934.0,187.0,8.0,256.0,6.5,50.0,5000.0,1.0
"OnePlus 7 Pro (Mirror Grey, 256 GB)",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display48 MP + 8 MP + 16 MP | 16MP Front Camera4000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"1,382 Ratings & 135 Reviews",4.5,39900.0,382.0,135.0,8.0,256.0,6.67,50.0,4000.0,1.0
"OnePlus 9RT 5G (Nano Silver, 128 GB)",8 GB RAM | 128 GB ROM16.81 cm (6.62 inch) Display50MP Rear Camera4500 mAh Battery12 months,641 Ratings & 58 Reviews,4.3,39999.0,641.0,58.0,8.0,128.0,6.62,50.0,4500.0,1.0
"POCO M7 5G (Satin Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"3,671 Ratings & 255 Reviews",4.2,9999.0,671.0,255.0,6.0,128.0,6.88,50.0,5160.0,1.0
"MOTOROLA g35 5G (Leaf Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,"32,397 Ratings & 2,650 Reviews",4.2,9999.0,397.0,650.0,4.0,128.0,6.72,50.0,5000.0,1.0
"SAMSUNG Glaxy F06 5G (Lit Violet, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,788 Ratings & 66 Reviews,4.2,9199.0,788.0,66.0,4.0,128.0,6.7,50.0,5000.0,1.0
"MOTOROLA g35 5G (Guava Red, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,"32,397 Ratings & 2,650 Reviews",4.2,9999.0,397.0,650.0,4.0,128.0,6.72,50.0,5000.0,1.0
"POCO C75 5G (Silver Stardust, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"30,430 Ratings & 1,659 Reviews",4.3,7999.0,430.0,659.0,4.0,64.0,6.88,50.0,5160.0,1.0
"IQOO Z9s 5G (Onyx Green, 128 GB)",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5500 mAh Battery1 Year on Handset and 6 Months on Accessories,"3,604 Ratings & 230 Reviews",4.4,18899.0,604.0,230.0,8.0,128.0,6.77,50.0,5500.0,1.0
"MOTOROLA Edge 50 (Jungle Green, 256 GB)",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 13MP + 10MP | 32MP Front Camera5000 mAh BatterySnapdragon 7 Gen 1 Accelerated Edition Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"28,122 Ratings & 2,087 Reviews",4.3,21999.0,122.0,87.0,8.0,256.0,6.67,50.0,5000.0,1.0
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"59,745 Ratings & 4,043 Reviews",4.5,24999.0,745.0,43.0,8.0,256.0,6.77,50.0,5500.0,1.0
"POCO M7 5G (Ocean Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"3,671 Ratings & 255 Reviews",4.2,9999.0,671.0,255.0,6.0,128.0,6.88,50.0,5160.0,1.0
"POCO M7 5G (Mint Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"3,671 Ratings & 255 Reviews",4.2,9999.0,671.0,255.0,6.0,128.0,6.88,50.0,5160.0,1.0
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD Display32MP + 2MP | 8MP Front Camera5100 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"18,755 Ratings & 834 Reviews",4.4,15999.0,755.0,834.0,8.0,256.0,6.67,50.0,5100.0,1.0
"SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB)",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4900 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"6,149 Ratings & 475 Reviews",4.5,54999.0,149.0,475.0,12.0,256.0,6.7,50.0,4900.0,1.0
"SAMSUNG Galaxy M35 5G (Thunder Grey, 256 GB)",8 GB RAM | 256 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 YEAR,"1,064 Ratings & 84 Reviews",4.4,22395.0,64.0,84.0,8.0,256.0,6.6,50.0,6000.0,1.0
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5500 mAh Battery1 year,"13,917 Ratings & 684 Reviews",4.4,16712.0,917.0,684.0,8.0,128.0,6.67,50.0,5500.0,1.0
"MOTOROLA g05 (Forest Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5200 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"17,380 Ratings & 1,416 Reviews",4.3,7299.0,380.0,416.0,4.0,64.0,6.67,50.0,5200.0,1.0
"REDMI 13 5G (Orchid Pink, 128 GB)",8 GB RAM | 128 GB ROM17.25 cm (6.79 inch) Full HD+ Display108MP Rear Camera5030 mAh BatteryQualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor1 year manufacture warranty,"6,710 Ratings & 383 Reviews",4.3,13740.0,710.0,383.0,8.0,128.0,6.79,108.0,5030.0,1.0
"SAMSUNG Galaxy M35 5G (Moonlight Blue, 128 GB)",8 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 YEAR,"1,064 Ratings & 84 Reviews",4.4,17425.0,64.0,84.0,8.0,128.0,6.6,50.0,6000.0,1.0
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 256 GB)",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5500 mAh Battery1 year,"13,917 Ratings & 684 Reviews",4.4,23790.0,917.0,684.0,8.0,256.0,6.67,50.0,5500.0,1.0
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"1,510 Ratings & 124 Reviews",4.2,9199.0,510.0,124.0,4.0,128.0,6.7,50.0,5000.0,1.0
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,"1,07,586 Ratings & 7,143 Reviews",4.5,22999.0,586.0,143.0,8.0,128.0,6.7,50.0,5000.0,1.0
"realme C61 (Marble Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"5,538 Ratings & 222 Reviews",4.3,7699.0,538.0,222.0,4.0,64.0,6.745,32.0,5000.0,1.0
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,"1,33,297 Ratings & 9,356 Reviews",4.4,24999.0,297.0,356.0,12.0,256.0,6.7,50.0,5000.0,1.0
"Nothing Phone (2a) 5G (Black, 256 GB)",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP (OIS) + 50MP | 32MP Front Camera5000 mAh BatteryDimensity 7200 Pro Processor1 Year Manufacturing Warranty,"80,736 Ratings & 6,737 Reviews",4.4,23999.0,736.0,737.0,8.0,256.0,6.7,50.0,5000.0,1.0
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,"1,07,586 Ratings & 7,143 Reviews",4.5,22999.0,586.0,143.0,8.0,128.0,6.7,50.0,5000.0,1.0
