product,description,review,rating,price,num_ratings,num_reviews,ram_gb,storage_gb,display_inch,camera_mp,battery_mah,warranty_years
"Motorola Edge 50 Ultra 5G (Forest Grey, 512 GB)",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,"2,485 Ratings & 273 Reviews",4.4,49999.0,485.0,273.0,12.0,512.0,6.7,50.0,4500.0,1.0
"IQOO Neo9 Pro (Fiery Red, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5160 mAh Battery1 Year,591 Ratings & 38 Reviews,4.5,41999.0,591.0,38.0,8.0,256.0,6.78,50.0,5160.0,1.0
"SAMSUNG Galaxy S24 FE 5G (Blue, 256 GB)",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,695 Ratings & 59 Reviews,4.5,47999.0,695.0,59.0,8.0,256.0,6.7,50.0,4700.0,1.0
"SAMSUNG Galaxy S23 5G (Green, 256 GB)",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"36,671 Ratings & 2,486 Reviews",4.6,49999.0,671.0,486.0,8.0,256.0,6.1,50.0,3900.0,1.0
"Xiaomi 14 CIVI (Shadow Black, 512 GB)",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,591 Ratings & 52 Reviews,4.3,43999.0,591.0,52.0,12.0,512.0,6.55,50.0,4700.0,1.0
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"1,414 Ratings & 124 Reviews",4.4,36999.0,414.0,124.0,8.0,256.0,6.6,50.0,5000.0,1.0
"SAMSUNG S24 FE 5G (Mint, 256 GB)",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,338 Ratings & 33 Reviews,4.6,47999.0,338.0,33.0,8.0,256.0,6.7,50.0,4700.0,1.0
"OPPO Reno13 5G (Sky Blue, 512 GB)",12 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 2MP | 50MP Front Camera5600 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,5 Ratings & 1 Reviews,4.4,43999.0,5.0,1.0,12.0,512.0,6.59,50.0,5600.0,1.0
"SAMSUNG S23 5G (Phantom Black, 256 GB)",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"38,891 Ratings & 2,733 Reviews",4.6,49999.0,891.0,733.0,8.0,256.0,6.1,50.0,3900.0,1.0
"vivo V40 Pro 5G (Ganges Blue, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"1,089 Ratings & 137 Reviews",4.4,49999.0,89.0,137.0,8.0,256.0,6.78,50.0,5500.0,1.0
"SAMSUNG Galaxy S24 FE 5G (Mint, 128 GB)",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,695 Ratings & 59 Reviews,4.5,41515.0,695.0,59.0,8.0,128.0,6.7,50.0,4700.0,1.0
